Type	Group	Name	Path	Dependencies	Remote	Timestamp
Ignore		interserver/whitelist	interserver/whitelist.fp		http://rbluri.interserver.net/whitelist.fp	2024-04-01T00:59:58Z
Ignore		sanesecurity/sigwhitelist	sanesecurity/sigwhitelist.ign2		https://mirror.rollernet.us/sanesecurity/sigwhitelist.ign2	2024-04-01T00:59:58Z
Signature		bofhland/cracked_url	bofhland/cracked_url.ndb		https://mirror.rollernet.us/sanesecurity/bofhland_cracked_URL.ndb	2024-04-01T00:59:58Z
Signature		bofhland/malware_attach	bofhland/malware_attach.hdb		https://mirror.rollernet.us/sanesecurity/bofhland_malware_attach.hdb	2024-04-01T00:59:58Z
Signature		bofhland/malware_url	bofhland/malware_url.ndb		https://mirror.rollernet.us/sanesecurity/bofhland_malware_URL.ndb	2024-04-01T00:59:58Z
Signature		bofhland/phishing_url	bofhland/phishing_url.ndb		https://mirror.rollernet.us/sanesecurity/bofhland_phishing_URL.ndb	2024-04-01T00:59:58Z
Signature		interserver/256	interserver/256.hdb	interserver/whitelist	http://rbluri.interserver.net/interserver256.hdb	2024-04-01T00:59:58Z
Signature		interserver/shell	interserver/shell.ldb	interserver/whitelist	http://rbluri.interserver.net/shell.ldb	2024-04-01T00:59:58Z
Signature		oitc/winnow_complex_patterns	oitc/winnow_complex_patterns.ldb		https://mirror.rollernet.us/sanesecurity/winnow.complex.patterns.ldb	2024-04-01T00:59:58Z
Signature		oitc/winnow_extended_malware_links	oitc/winnow_extended_malware_links.ndb		https://mirror.rollernet.us/sanesecurity/winnow_extended_malware_links.ndb	2024-04-01T00:59:58Z
Signature		oitc/winnow_malware_links	oitc/winnow_malware_links.ndb		https://mirror.rollernet.us/sanesecurity/winnow_malware_links.ndb	2024-04-01T00:59:58Z
Signature		oitc/winnow_phish_complete_url	oitc/winnow_phish_complete_url.ndb		https://mirror.rollernet.us/sanesecurity/winnow_phish_complete_url.ndb	2024-04-01T00:59:58Z
Signature		oitc/winnow_spam_complete	oitc/winnow_spam_complete.ndb		https://mirror.rollernet.us/sanesecurity/winnow_spam_complete.ndb	2024-04-01T00:59:58Z
Signature		porcupine/porcupine_hsb	porcupine/porcupine.hsb		https://mirror.rollernet.us/sanesecurity/porcupine.hsb	2024-04-01T00:59:58Z
Signature		porcupine/porcupine_ndb	porcupine/porcupine.ndb		https://mirror.rollernet.us/sanesecurity/porcupine.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/badmacro	sanesecurity/badmacro.ndb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/badmacro.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/blurl	sanesecurity/blurl.ndb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/blurl.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/foxhole_filename	sanesecurity/foxhole_filename.cdb		https://mirror.rollernet.us/sanesecurity/foxhole_filename.cdb	2024-04-01T00:59:58Z
Signature		sanesecurity/foxhole_generic	sanesecurity/foxhole_generic.cdb		https://mirror.rollernet.us/sanesecurity/foxhole_generic.cdb	2024-04-01T00:59:58Z
Signature		sanesecurity/foxhole_js_cdb	sanesecurity/foxhole_js.cdb		https://mirror.rollernet.us/sanesecurity/foxhole_js.cdb	2024-04-01T00:59:58Z
Signature		sanesecurity/foxhole_js_ndb	sanesecurity/foxhole_js.ndb		https://mirror.rollernet.us/sanesecurity/foxhole_js.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/hackingteam	sanesecurity/hackingteam.hsb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/hackingteam.hsb	2024-04-01T00:59:58Z
Signature		sanesecurity/junk	sanesecurity/junk.ndb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/junk.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/jurlbl	sanesecurity/jurlbl.ndb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/jurlbl.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/jurlbla	sanesecurity/jurlbla.ndb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/jurlbla.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/lott	sanesecurity/lott.ndb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/lott.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/malwarehash	sanesecurity/malwarehash.hsb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/malwarehash.hsb	2024-04-01T00:59:58Z
Signature		sanesecurity/phish	sanesecurity/phish.ndb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/phish.ndb	2024-04-01T00:59:58Z
Signature		sanesecurity/rogue	sanesecurity/rogue.hdb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/rogue.hdb	2024-04-01T00:59:58Z
Signature		sanesecurity/shelter	sanesecurity/shelter.ldb	sanesecurity/sigwhitelist	https://mirror.rollernet.us/sanesecurity/shelter.ldb	2024-04-01T00:59:58Z
